   n   error_puntomedio     error_trapecio      error_simpson
   2    0.872945192E-02    0.199119513E-03    0.706814447E-06
   4    0.441447231E-02    0.498134055E-04    0.447031064E-07
   6    0.295404842E-02    0.221420587E-04    0.884997736E-08
   8    0.221968740E-02    0.124554532E-04    0.280238455E-08
  10    0.177774263E-02    0.797165156E-05    0.114827398E-08
  12    0.148255931E-02    0.553593008E-05    0.553868118E-09
  14    0.127144296E-02    0.406724093E-05    0.298999936E-09
  16    0.111295743E-02    0.311399476E-05    0.175281900E-09
  18    0.989603044E-03    0.246044757E-05    0.109433518E-09
  20    0.890864176E-03    0.199296674E-05    0.718021753E-10
  22    0.810041229E-03    0.164708253E-05    0.490432694E-10
  24    0.742663611E-03    0.138400849E-05    0.346286333E-10
  26    0.685633912E-03    0.117927460E-05    0.251417220E-10
  28    0.636738278E-03    0.101682425E-05    0.186922700E-10
  30    0.594352328E-03    0.885767429E-06    0.141846535E-10
  32    0.557257207E-03    0.778506907E-06    0.109574572E-10
  34    0.524520472E-03    0.689611932E-06    0.859795568E-11
  36    0.495416629E-03    0.615117023E-06    0.684080570E-11
  38    0.469372740E-03    0.552071945E-06    0.551048096E-11
  40    0.445930326E-03    0.498245052E-06    0.448835413E-11
  42    0.424718145E-03    0.451923044E-06    0.369271280E-11
  44    0.405432383E-03    0.411772931E-06    0.306571435E-11
  46    0.387822013E-03    0.376745048E-06    0.256633603E-11
  48    0.371677806E-03    0.346003746E-06    0.216471285E-11
  50    0.356823980E-03    0.318877092E-06    0.183864035E-11
  52    0.343111774E-03    0.294819828E-06    0.157174274E-11
  54    0.330414445E-03    0.273385766E-06    0.135141898E-11
  56    0.318623344E-03    0.254206939E-06    0.116862076E-11
  58    0.307644796E-03    0.236977712E-06    0.101546549E-11
  60    0.297397605E-03    0.221442522E-06    0.886790641E-12
  62    0.287811047E-03    0.207386350E-06    0.777877762E-12
  64    0.278823230E-03    0.194627240E-06    0.685063117E-12
  66    0.270379760E-03    0.183010381E-06    0.605793193E-12
  68    0.262432639E-03    0.172403386E-06    0.537681011E-12
  70    0.254939348E-03    0.162692509E-06    0.478783679E-12
  72    0.247862093E-03    0.153779576E-06    0.427713420E-12
  74    0.241167162E-03    0.145579502E-06    0.383415522E-12
  76    0.234824388E-03    0.138018245E-06    0.344668738E-12
  78    0.228806698E-03    0.131031132E-06    0.310640402E-12
  80    0.223089724E-03    0.124561474E-06    0.280830914E-12
  82    0.217651475E-03    0.118559407E-06    0.254352095E-12
  84    0.212472053E-03    0.112980934E-06    0.231092923E-12
  86    0.207533409E-03    0.107787113E-06    0.210220730E-12
  88    0.202819135E-03    0.102943377E-06    0.191791028E-12
  90    0.198314279E-03    0.984189537E-07    0.175359727E-12
  92    0.194005192E-03    0.941863823E-07    0.160593761E-12
  94    0.189879384E-03    0.902210904E-07    0.147382107E-12
  96    0.185925404E-03    0.865010381E-07    0.135336187E-12
  98    0.182132737E-03    0.830064120E-07    0.124844579E-12
 100    0.178491709E-03    0.797193591E-07    0.115185639E-12
