   n integral_puntomedi  integral_trapecio   integral_simpson
   2   -0.258333333E+00   -0.267261905E+00   -0.267063492E+00
   4   -0.262648313E+00   -0.267112599E+00   -0.267062830E+00
   6   -0.264108737E+00   -0.267084927E+00   -0.267062794E+00
   8   -0.264843098E+00   -0.267075241E+00   -0.267062788E+00
  10   -0.265285043E+00   -0.267070757E+00   -0.267062786E+00
  12   -0.265580226E+00   -0.267068321E+00   -0.267062786E+00
  14   -0.265791342E+00   -0.267066852E+00   -0.267062786E+00
  16   -0.265949828E+00   -0.267065899E+00   -0.267062785E+00
  18   -0.266073182E+00   -0.267065246E+00   -0.267062785E+00
  20   -0.266171921E+00   -0.267064778E+00   -0.267062785E+00
  22   -0.266252744E+00   -0.267064432E+00   -0.267062785E+00
  24   -0.266320122E+00   -0.267064169E+00   -0.267062785E+00
  26   -0.266377151E+00   -0.267063965E+00   -0.267062785E+00
  28   -0.266426047E+00   -0.267063802E+00   -0.267062785E+00
  30   -0.266468433E+00   -0.267063671E+00   -0.267062785E+00
  32   -0.266505528E+00   -0.267063564E+00   -0.267062785E+00
  34   -0.266538265E+00   -0.267063475E+00   -0.267062785E+00
  36   -0.266567369E+00   -0.267063400E+00   -0.267062785E+00
  38   -0.266593413E+00   -0.267063337E+00   -0.267062785E+00
  40   -0.266616855E+00   -0.267063283E+00   -0.267062785E+00
  42   -0.266638067E+00   -0.267063237E+00   -0.267062785E+00
  44   -0.266657353E+00   -0.267063197E+00   -0.267062785E+00
  46   -0.266674963E+00   -0.267063162E+00   -0.267062785E+00
  48   -0.266691107E+00   -0.267063131E+00   -0.267062785E+00
  50   -0.266705961E+00   -0.267063104E+00   -0.267062785E+00
  52   -0.266719673E+00   -0.267063080E+00   -0.267062785E+00
  54   -0.266732371E+00   -0.267063059E+00   -0.267062785E+00
  56   -0.266744162E+00   -0.267063039E+00   -0.267062785E+00
  58   -0.266755140E+00   -0.267063022E+00   -0.267062785E+00
  60   -0.266765388E+00   -0.267063007E+00   -0.267062785E+00
  62   -0.266774974E+00   -0.267062993E+00   -0.267062785E+00
  64   -0.266783962E+00   -0.267062980E+00   -0.267062785E+00
  66   -0.266792405E+00   -0.267062968E+00   -0.267062785E+00
  68   -0.266800353E+00   -0.267062958E+00   -0.267062785E+00
  70   -0.266807846E+00   -0.267062948E+00   -0.267062785E+00
  72   -0.266814923E+00   -0.267062939E+00   -0.267062785E+00
  74   -0.266821618E+00   -0.267062931E+00   -0.267062785E+00
  76   -0.266827961E+00   -0.267062923E+00   -0.267062785E+00
  78   -0.266833979E+00   -0.267062916E+00   -0.267062785E+00
  80   -0.266839696E+00   -0.267062910E+00   -0.267062785E+00
  82   -0.266845134E+00   -0.267062904E+00   -0.267062785E+00
  84   -0.266850313E+00   -0.267062898E+00   -0.267062785E+00
  86   -0.266855252E+00   -0.267062893E+00   -0.267062785E+00
  88   -0.266859966E+00   -0.267062888E+00   -0.267062785E+00
  90   -0.266864471E+00   -0.267062884E+00   -0.267062785E+00
  92   -0.266868780E+00   -0.267062879E+00   -0.267062785E+00
  94   -0.266872906E+00   -0.267062875E+00   -0.267062785E+00
  96   -0.266876860E+00   -0.267062872E+00   -0.267062785E+00
  98   -0.266880653E+00   -0.267062868E+00   -0.267062785E+00
 100   -0.266884294E+00   -0.267062865E+00   -0.267062785E+00
