   n   error_puntomedio     error_trapecio      error_simpson
   2    0.105093908E+00    0.894315365E-02    0.140503197E-04
   4    0.547834154E-01    0.223511545E-02    0.897287186E-06
   6    0.370190249E-01    0.993328953E-03    0.177995373E-06
   8    0.279505289E-01    0.558736559E-03    0.564037359E-07
  10    0.224498242E-01    0.357588145E-03    0.231191720E-07
  12    0.187578531E-01    0.248323873E-03    0.111535505E-07
  14    0.161085673E-01    0.182441485E-03    0.602179734E-08
  16    0.141149512E-01    0.139681492E-03    0.353039595E-08
  18    0.125604192E-01    0.110365477E-03    0.220423541E-08
  20    0.113143102E-01    0.893959515E-04    0.144630516E-08
  22    0.102931247E-01    0.738808998E-04    0.987899706E-09
  24    0.944100803E-02    0.620804451E-04    0.697552072E-09
  26    0.871918474E-02    0.528969253E-04    0.506456516E-09
  28    0.809989432E-02    0.456100889E-04    0.376543074E-09
  30    0.756273933E-02    0.397314447E-04    0.285739710E-09
  32    0.709239615E-02    0.349202075E-04    0.220730906E-09
  34    0.667712968E-02    0.309327733E-04    0.173202203E-09
  36    0.630780105E-02    0.275912659E-04    0.137804823E-09
  38    0.597718726E-02    0.247633490E-04    0.111005483E-09
  40    0.567950416E-02    0.223489201E-04    0.904153696E-10
  42    0.541006514E-02    0.202711274E-04    0.743854700E-10
  44    0.516503262E-02    0.184701786E-04    0.617557672E-10
  46    0.494123413E-02    0.168989902E-04    0.516962584E-10
  48    0.473602416E-02    0.155200786E-04    0.436042036E-10
  50    0.454717916E-02    0.143033036E-04    0.370352082E-10
  52    0.437281663E-02    0.132242076E-04    0.316579818E-10
  54    0.421133210E-02    0.122627763E-04    0.272221690E-10
  56    0.406134970E-02    0.114025046E-04    0.235367836E-10
  58    0.392168279E-02    0.106296829E-04    0.204544992E-10
  60    0.379130254E-02    0.993284778E-05    0.178605741E-10
  62    0.366931254E-02    0.930235457E-05    0.156651914E-10
  64    0.355492814E-02    0.873004152E-05    0.137969913E-10
  66    0.344745957E-02    0.820896446E-05    0.121991028E-10
  68    0.334629804E-02    0.773318522E-05    0.108260623E-10
  70    0.325090416E-02    0.729760158E-05    0.964078817E-11
  72    0.316079835E-02    0.689781001E-05    0.861341554E-11
  74    0.307555275E-02    0.652999388E-05    0.771932518E-11
  76    0.299478447E-02    0.619083205E-05    0.693836655E-11
  78    0.291814980E-02    0.587742364E-05    0.625363650E-11
  80    0.284533932E-02    0.558722578E-05    0.565122948E-11
  82    0.277607375E-02    0.531800186E-05    0.511976572E-11
  84    0.271010036E-02    0.506777836E-05    0.464936423E-11
  86    0.264718988E-02    0.483480851E-05    0.423167057E-11
  88    0.258713386E-02    0.461754176E-05    0.385994015E-11
  90    0.252974233E-02    0.441459791E-05    0.352812224E-11
  92    0.247484181E-02    0.422474513E-05    0.323116534E-11
  94    0.242227358E-02    0.404688122E-05    0.296487834E-11
  96    0.237189210E-02    0.388001760E-05    0.272543099E-11
  98    0.232356371E-02    0.372326551E-05    0.250963139E-11
 100    0.227716541E-02    0.357582417E-05    0.231484276E-11
