   n integral_puntomedi  integral_trapecio   integral_simpson
   2    0.871654497E-01    0.201202511E+00    0.192245307E+00
   4    0.137475942E+00    0.194494473E+00    0.192258460E+00
   6    0.155240333E+00    0.193252687E+00    0.192259180E+00
   8    0.164308829E+00    0.192818094E+00    0.192259301E+00
  10    0.169809534E+00    0.192616946E+00    0.192259335E+00
  12    0.173501505E+00    0.192507682E+00    0.192259347E+00
  14    0.176150790E+00    0.192441799E+00    0.192259352E+00
  16    0.178144407E+00    0.192399039E+00    0.192259354E+00
  18    0.179698939E+00    0.192369723E+00    0.192259356E+00
  20    0.180945048E+00    0.192348754E+00    0.192259356E+00
  22    0.181966233E+00    0.192333239E+00    0.192259357E+00
  24    0.182818350E+00    0.192321438E+00    0.192259357E+00
  26    0.183540173E+00    0.192312255E+00    0.192259357E+00
  28    0.184159463E+00    0.192304968E+00    0.192259357E+00
  30    0.184696618E+00    0.192299089E+00    0.192259357E+00
  32    0.185166962E+00    0.192294278E+00    0.192259358E+00
  34    0.185582228E+00    0.192290291E+00    0.192259358E+00
  36    0.185951557E+00    0.192286949E+00    0.192259358E+00
  38    0.186282170E+00    0.192284121E+00    0.192259358E+00
  40    0.186579854E+00    0.192281707E+00    0.192259358E+00
  42    0.186849293E+00    0.192279629E+00    0.192259358E+00
  44    0.187094325E+00    0.192277828E+00    0.192259358E+00
  46    0.187318124E+00    0.192276257E+00    0.192259358E+00
  48    0.187523334E+00    0.192274878E+00    0.192259358E+00
  50    0.187712179E+00    0.192273661E+00    0.192259358E+00
  52    0.187886541E+00    0.192272582E+00    0.192259358E+00
  54    0.188048026E+00    0.192271621E+00    0.192259358E+00
  56    0.188198008E+00    0.192270760E+00    0.192259358E+00
  58    0.188337675E+00    0.192269987E+00    0.192259358E+00
  60    0.188468055E+00    0.192269291E+00    0.192259358E+00
  62    0.188590045E+00    0.192268660E+00    0.192259358E+00
  64    0.188704430E+00    0.192268088E+00    0.192259358E+00
  66    0.188811898E+00    0.192267567E+00    0.192259358E+00
  68    0.188913060E+00    0.192267091E+00    0.192259358E+00
  70    0.189008454E+00    0.192266655E+00    0.192259358E+00
  72    0.189098559E+00    0.192266256E+00    0.192259358E+00
  74    0.189183805E+00    0.192265888E+00    0.192259358E+00
  76    0.189264573E+00    0.192265549E+00    0.192259358E+00
  78    0.189341208E+00    0.192265235E+00    0.192259358E+00
  80    0.189414018E+00    0.192264945E+00    0.192259358E+00
  82    0.189483284E+00    0.192264676E+00    0.192259358E+00
  84    0.189549257E+00    0.192264426E+00    0.192259358E+00
  86    0.189612168E+00    0.192264193E+00    0.192259358E+00
  88    0.189672224E+00    0.192263975E+00    0.192259358E+00
  90    0.189729615E+00    0.192263772E+00    0.192259358E+00
  92    0.189784516E+00    0.192263582E+00    0.192259358E+00
  94    0.189837084E+00    0.192263405E+00    0.192259358E+00
  96    0.189887466E+00    0.192263238E+00    0.192259358E+00
  98    0.189935794E+00    0.192263081E+00    0.192259358E+00
 100    0.189982192E+00    0.192262934E+00    0.192259358E+00
