0.000   0.1000000E+01
0.005   0.9950000E+00   0.9088182E-04
0.010   0.9901821E+00   0.1807915E-03
0.015   0.9855451E+00   0.2696592E-03
0.020   0.9810879E+00   0.3574161E-03
0.025   0.9768091E+00   0.4439940E-03
0.030   0.9727073E+00   0.5293261E-03
0.035   0.9687806E+00   0.6133463E-03
0.040   0.9650274E+00   0.6959898E-03
0.045   0.9614458E+00   0.7771931E-03
0.050   0.9580335E+00   0.8568937E-03
0.055   0.9547884E+00   0.9350306E-03
0.060   0.9517082E+00   0.1011544E-02
0.065   0.9487902E+00   0.1086376E-02
0.070   0.9460320E+00   0.1159470E-02
0.075   0.9434308E+00   0.1230771E-02
0.080   0.9409836E+00   0.1300224E-02
0.085   0.9386874E+00   0.1367779E-02
0.090   0.9365392E+00   0.1433385E-02
0.095   0.9345356E+00   0.1496994E-02
0.100   0.9326734E+00   0.1558560E-02
0.105   0.9309489E+00   0.1618036E-02
0.110   0.9293587E+00   0.1675382E-02
0.115   0.9278990E+00   0.1730556E-02
0.120   0.9265661E+00   0.1783519E-02
0.125   0.9253560E+00   0.1834235E-02
0.130   0.9242648E+00   0.1882668E-02
0.135   0.9232883E+00   0.1928787E-02
0.140   0.9224224E+00   0.1972561E-02
0.145   0.9216628E+00   0.2013961E-02
0.150   0.9210053E+00   0.2052962E-02
0.155   0.9204454E+00   0.2089540E-02
0.160   0.9199785E+00   0.2123673E-02
0.165   0.9196003E+00   0.2155341E-02
0.170   0.9193060E+00   0.2184529E-02
0.175   0.9190910E+00   0.2211221E-02
0.180   0.9189506E+00   0.2235406E-02
0.185   0.9188800E+00   0.2257072E-02
0.190   0.9188743E+00   0.2276212E-02
0.195   0.9189288E+00   0.2292822E-02
0.200   0.9190386E+00   0.2306897E-02
0.205   0.9191987E+00   0.2318439E-02
0.210   0.9194042E+00   0.2327447E-02
0.215   0.9196501E+00   0.2333928E-02
0.220   0.9199314E+00   0.2337887E-02
0.225   0.9202432E+00   0.2339332E-02
0.230   0.9205804E+00   0.2338277E-02
0.235   0.9209381E+00   0.2334734E-02
0.240   0.9213112E+00   0.2328718E-02
0.245   0.9216948E+00   0.2320250E-02
0.250   0.9220838E+00   0.2309348E-02
0.255   0.9224734E+00   0.2296036E-02
0.260   0.9228586E+00   0.2280340E-02
0.265   0.9232344E+00   0.2262286E-02
0.270   0.9235961E+00   0.2241904E-02
0.275   0.9239386E+00   0.2219226E-02
0.280   0.9242574E+00   0.2194286E-02
0.285   0.9245475E+00   0.2167120E-02
0.290   0.9248044E+00   0.2137765E-02
0.295   0.9250233E+00   0.2106263E-02
0.300   0.9251996E+00   0.2072656E-02
0.305   0.9253289E+00   0.2036987E-02
0.310   0.9254067E+00   0.1999302E-02
0.315   0.9254285E+00   0.1959651E-02
0.320   0.9253902E+00   0.1918081E-02
0.325   0.9252873E+00   0.1874646E-02
0.330   0.9251159E+00   0.1829398E-02
0.335   0.9248719E+00   0.1782392E-02
0.340   0.9245512E+00   0.1733686E-02
0.345   0.9241501E+00   0.1683336E-02
0.350   0.9236648E+00   0.1631404E-02
0.355   0.9230915E+00   0.1577950E-02
