0.000   0.1000000E+01
0.010   0.9903641E+00   0.1262295E-05
0.020   0.9814479E+00   0.2600026E-05
0.030   0.9732406E+00   0.4007883E-05
0.040   0.9657289E+00   0.5480271E-05
0.050   0.9588974E+00   0.7011335E-05
0.060   0.9527283E+00   0.8594978E-05
0.070   0.9472017E+00   0.1022489E-04
0.080   0.9422957E+00   0.1189458E-04
0.090   0.9379862E+00   0.1359738E-04
0.100   0.9342472E+00   0.1532649E-04
0.110   0.9310512E+00   0.1707500E-04
0.120   0.9283685E+00   0.1883592E-04
0.130   0.9261680E+00   0.2060221E-04
0.140   0.9244173E+00   0.2236678E-04
0.150   0.9230824E+00   0.2412257E-04
0.160   0.9221281E+00   0.2586252E-04
0.170   0.9215181E+00   0.2757966E-04
0.180   0.9212152E+00   0.2926708E-04
0.190   0.9211815E+00   0.3091799E-04
0.200   0.9213780E+00   0.3252573E-04
0.210   0.9217657E+00   0.3408382E-04
0.220   0.9223049E+00   0.3558596E-04
0.230   0.9229557E+00   0.3702608E-04
0.240   0.9236783E+00   0.3839833E-04
0.250   0.9244329E+00   0.3969714E-04
0.260   0.9251798E+00   0.4091721E-04
0.270   0.9258800E+00   0.4205356E-04
0.280   0.9264948E+00   0.4310153E-04
0.290   0.9269862E+00   0.4405681E-04
0.300   0.9273172E+00   0.4491543E-04
0.310   0.9274517E+00   0.4567384E-04
0.320   0.9273546E+00   0.4632884E-04
0.330   0.9269922E+00   0.4687765E-04
0.340   0.9263322E+00   0.4731792E-04
0.350   0.9253438E+00   0.4764769E-04
0.360   0.9239978E+00   0.4786547E-04
0.370   0.9222666E+00   0.4797018E-04
0.380   0.9201246E+00   0.4796120E-04
0.390   0.9175483E+00   0.4783834E-04
0.400   0.9145159E+00   0.4760189E-04
0.410   0.9110079E+00   0.4725254E-04
0.420   0.9070070E+00   0.4679144E-04
0.430   0.9024981E+00   0.4622020E-04
0.440   0.8974684E+00   0.4554084E-04
0.450   0.8919076E+00   0.4475580E-04
0.460   0.8858076E+00   0.4386794E-04
0.470   0.8791628E+00   0.4288053E-04
0.480   0.8719701E+00   0.4179723E-04
0.490   0.8642288E+00   0.4062206E-04
0.500   0.8559407E+00   0.3935942E-04
0.510   0.8471100E+00   0.3801405E-04
0.520   0.8377433E+00   0.3659099E-04
0.530   0.8278497E+00   0.3509562E-04
0.540   0.8174405E+00   0.3353358E-04
0.550   0.8065295E+00   0.3191077E-04
0.560   0.7951326E+00   0.3023335E-04
0.570   0.7832679E+00   0.2850767E-04
0.580   0.7709558E+00   0.2674028E-04
0.590   0.7582185E+00   0.2493789E-04
0.600   0.7450802E+00   0.2310734E-04
0.610   0.7315669E+00   0.2125560E-04
0.620   0.7177066E+00   0.1938969E-04
0.630   0.7035286E+00   0.1751672E-04
0.640   0.6890638E+00   0.1564379E-04
0.650   0.6743446E+00   0.1377804E-04
0.660   0.6594045E+00   0.1192654E-04
0.670   0.6442782E+00   0.1009632E-04
0.680   0.6290014E+00   0.8294336E-05
0.690   0.6136105E+00   0.6527412E-05
0.700   0.5981428E+00   0.4802242E-05
0.710   0.5826359E+00   0.3125353E-05
0.720   0.5671279E+00   0.1503080E-05
0.730   0.5516572E+00   0.5846008E-07
0.740   0.5362622E+00   0.1553388E-05
0.750   0.5209813E+00   0.2976092E-05
0.760   0.5058524E+00   0.4321241E-05
0.770   0.4909135E+00   0.5583817E-05
0.780   0.4762016E+00   0.6759124E-05
0.790   0.4617533E+00   0.7842814E-05
0.800   0.4476044E+00   0.8830899E-05
0.810   0.4337895E+00   0.9719770E-05
0.820   0.4203422E+00   0.1050621E-04
0.830   0.4072950E+00   0.1118741E-04
0.840   0.3946788E+00   0.1176097E-04
0.850   0.3825232E+00   0.1222492E-04
0.860   0.3708559E+00   0.1257773E-04
0.870   0.3597033E+00   0.1281829E-04
0.880   0.3490897E+00   0.1294594E-04
0.890   0.3390373E+00   0.1296049E-04
0.900   0.3295667E+00   0.1286217E-04
0.910   0.3206961E+00   0.1265165E-04
0.920   0.3124415E+00   0.1233007E-04
0.930   0.3048169E+00   0.1189900E-04
0.940   0.2978338E+00   0.1136042E-04
0.950   0.2915014E+00   0.1071675E-04
0.960   0.2858265E+00   0.9970848E-05
0.970   0.2808135E+00   0.9125937E-05
0.980   0.2764645E+00   0.8185651E-05
0.990   0.2727788E+00   0.7153997E-05
1.000   0.2697537E+00   0.6035342E-05
