    t          caso 1          caso 2          caso 3          caso 4          caso 5          caso 6
 0.000    0.5000000E+00    0.2000000E+01    0.3141593E+01    0.3600000E+01    0.5500000E+01    0.6283185E+01
 0.200    0.4818120E+00    0.1839068E+01    0.2872024E+01    0.3286808E+01    0.5005999E+01    0.5714655E+01
 0.300    0.5295703E+00    0.1757667E+01    0.2692324E+01    0.3067636E+01    0.4623225E+01    0.5264443E+01
 0.400    0.5546178E+00    0.1665845E+01    0.2511558E+01    0.2851155E+01    0.4258710E+01    0.4838908E+01
 0.500    0.5302991E+00    0.1535780E+01    0.2301012E+01    0.2608292E+01    0.3881901E+01    0.4406886E+01
 0.600    0.4504413E+00    0.1360238E+01    0.2052649E+01    0.2330687E+01    0.3483096E+01    0.3958122E+01
 0.700    0.3315568E+00    0.1154775E+01    0.1781294E+01    0.2032874E+01    0.3075616E+01    0.3505438E+01
 0.800    0.2063962E+00    0.9512747E+00    0.1518173E+01    0.1745812E+01    0.2689324E+01    0.3078243E+01
 0.900    0.1113123E+00    0.7853063E+00    0.1298257E+01    0.1504233E+01    0.2357959E+01    0.2709867E+01
 1.000    0.7225943E-01    0.6821144E+00    0.1146252E+01    0.1332626E+01    0.2105109E+01    0.2423529E+01
 1.100    0.9477629E-01    0.6465960E+00    0.1066565E+01    0.1235204E+01    0.1934175E+01    0.2222293E+01
 1.200    0.1617766E+00    0.6610837E+00    0.1041087E+01    0.1193678E+01    0.1826134E+01    0.2086834E+01
 1.300    0.2399902E+00    0.6917821E+00    0.1035624E+01    0.1173693E+01    0.1745963E+01    0.1981854E+01
 1.400    0.2925949E+00    0.7013931E+00    0.1012514E+01    0.1137444E+01    0.1655255E+01    0.1868699E+01
 1.500    0.2932110E+00    0.6631069E+00    0.9446205E+00    0.1057663E+01    0.1526197E+01    0.1719329E+01
 1.600    0.2359150E+00    0.5706107E+00    0.8253348E+00    0.9276195E+00    0.1351567E+01    0.1526320E+01
 1.700    0.1374454E+00    0.4402906E+00    0.6707745E+00    0.7633255E+00    0.1146929E+01    0.1305052E+01
 1.800    0.3075696E-01    0.3047827E+00    0.5133332E+00    0.5970768E+00    0.9441760E+00    0.1087251E+01
 1.900   -0.4761267E-01    0.2003361E+00    0.3890404E+00    0.4648147E+00    0.7788831E+00    0.9083430E+00
 2.000   -0.7154187E-01    0.1528114E+00    0.3235582E+00    0.3921217E+00    0.6763025E+00    0.7934427E+00
 2.100   -0.3534052E-01    0.1676628E+00    0.3221608E+00    0.3841996E+00    0.6413371E+00    0.7473299E+00
 2.200    0.4404199E-01    0.2277270E+00    0.3675226E+00    0.4236576E+00    0.6563253E+00    0.7522316E+00
 2.300    0.1334596E+00    0.2996647E+00    0.4261570E+00    0.4769501E+00    0.6874765E+00    0.7742561E+00
 2.400    0.1962020E+00    0.3465905E+00    0.4610455E+00    0.5070050E+00    0.6974972E+00    0.7760186E+00
 2.500    0.2059910E+00    0.3420683E+00    0.4456314E+00    0.4872173E+00    0.6595818E+00    0.7306309E+00
 2.600    0.1569952E+00    0.2801229E+00    0.3738308E+00    0.4114592E+00    0.5674211E+00    0.6317090E+00
 2.700    0.6603570E-01    0.1774463E+00    0.2622367E+00    0.2962843E+00    0.4374045E+00    0.4955746E+00
 2.800   -0.3385717E-01    0.6695134E-01    0.1436729E+00    0.1744804E+00    0.3021712E+00    0.3548057E+00
 2.900   -0.1060780E+00   -0.1486264E-01    0.5455786E-01    0.8243371E-01    0.1979731E+00    0.2455988E+00
 3.000   -0.1244435E+00   -0.4190841E-01    0.2090586E-01    0.4612897E-01    0.1506734E+00    0.1937669E+00
 3.100   -0.8320786E-01   -0.8527052E-02    0.4830965E-01    0.7113247E-01    0.1657282E+00    0.2047208E+00
 3.200    0.7298254E-03    0.6830382E-01    0.1197318E+00    0.1403827E+00    0.2259765E+00    0.2612584E+00
 3.300    0.9426912E-01    0.1554126E+00    0.2019466E+00    0.2206323E+00    0.2980807E+00    0.3300052E+00
 3.400    0.1607410E+00    0.2160659E+00    0.2581716E+00    0.2750791E+00    0.3451573E+00    0.3740438E+00
 3.500    0.1739046E+00    0.2239646E+00    0.2620634E+00    0.2773620E+00    0.3407714E+00    0.3669090E+00
 3.600    0.1279621E+00    0.1732584E+00    0.2077316E+00    0.2215743E+00    0.2789495E+00    0.3025998E+00
