 n° ite     xn         f en xn         error rel x             error abs y
   1    0.145000000E+01   -0.316983625E-01    0.103448276E+00    0.316983625E-01
   2    0.137500000E+01    0.179198130E+00    0.545454545E-01    0.179198130E+00
   3    0.141250000E+01    0.755679693E-01    0.265486726E-01    0.755679693E-01
   4    0.143125000E+01    0.223179112E-01    0.131004367E-01    0.223179112E-01
   5    0.144062500E+01   -0.460404756E-02    0.650759219E-02    0.460404756E-02
   6    0.143593750E+01    0.887970619E-02    0.326441785E-02    0.887970619E-02
   7    0.143828125E+01    0.214337105E-02    0.162954916E-02    0.214337105E-02
   8    0.143945313E+01   -0.122897197E-02    0.814111262E-03    0.122897197E-02
   9    0.143886719E+01    0.457543515E-03    0.407221393E-03    0.457543515E-03
  10    0.143916016E+01   -0.385628533E-03    0.203569247E-03    0.385628533E-03
  11    0.143901367E+01    0.359789517E-04    0.101794985E-03    0.359789517E-04
  12    0.143908691E+01   -0.174819430E-03    0.508949020E-04    0.174819430E-03
  13    0.143905029E+01   -0.694188985E-04    0.254480986E-04    0.694188985E-04
  14    0.143903198E+01   -0.167196381E-04    0.127242112E-04    0.167196381E-04
  15    0.143902283E+01    0.962974061E-05    0.636214608E-05    0.962974061E-05
  16    0.143902740E+01   -0.354492781E-05    0.318106292E-05    0.354492781E-05
  17    0.143902512E+01    0.304241164E-05    0.159053399E-05    0.304241164E-05
  18    0.143902626E+01   -0.251256772E-06    0.795266363E-06    0.251256772E-06
  19    0.143902569E+01    0.139557776E-05    0.397633339E-06    0.139557776E-05
  20    0.143902597E+01    0.572160578E-06    0.198816630E-06    0.572160578E-06
  21    0.143902612E+01    0.160451924E-06    0.994083052E-07    0.160451924E-06
  22    0.143902619E+01   -0.454024191E-07    0.497041502E-07    0.454024191E-07
  23    0.143902615E+01    0.575247535E-07    0.248520757E-07    0.575247535E-07
 ite final     xn         f en xn         error rel x             error abs y
  24    0.143902617E+01    0.606116763E-08    0.124260377E-07    0.606116763E-08
